account_id,customer_id,account_type,opened_date
1,1,Savings,2024-05-29
2,2,Savings,2023-04-23
3,2,Savings,2023-04-23
4,3,Savings,2024-09-11
5,4,Savings,2024-02-01
6,5,Savings,2023-10-13
7,5,Savings,2023-10-13
8,6,Savings,2024-06-22
9,6,Savings,2024-06-22
10,7,Current,2023-05-31
11,7,Savings,2023-05-31
12,8,Savings,2023-12-22
13,9,Savings,2022-10-12
14,10,Savings,2024-08-21
15,11,Savings,2023-09-16
16,12,Savings,2024-02-22
17,13,Savings,2023-04-06
18,13,Savings,2023-04-06
19,14,Savings,2024-05-16
20,15,Savings,2022-03-16
21,16,Savings,2022-04-25
22,17,Savings,2023-05-23
23,17,Savings,2023-05-23
24,18,Savings,2024-01-03
25,19,Savings,2024-03-20
26,20,Current,2023-03-17
27,21,Savings,2023-10-12
28,22,Current,2023-07-08
29,23,Savings,2024-08-19
30,24,Current,2023-10-17
31,24,Savings,2023-10-17
32,25,Savings,2023-02-21
33,26,Savings,2024-08-27
34,26,Savings,2024-08-27
35,27,Savings,2022-04-18
36,28,Savings,2024-09-11
37,29,Current,2022-06-04
38,30,Savings,2022-10-16
39,30,Savings,2022-10-16
40,31,Savings,2024-04-01
41,32,Current,2024-01-04
42,33,Savings,2024-08-28
43,34,Savings,2024-01-20
44,34,Savings,2024-01-20
45,35,Savings,2023-09-30
46,36,Savings,2022-12-13
47,37,Savings,2022-01-05
48,37,Savings,2022-01-05
49,38,Savings,2022-05-04
50,39,Savings,2022-10-25
51,40,Savings,2022-02-10
52,41,Savings,2023-05-24
53,41,Savings,2023-05-24
54,42,Current,2024-02-17
55,43,Savings,2024-08-21
56,44,Savings,2023-05-05
57,45,Savings,2024-05-25
58,46,Savings,2024-09-12
59,47,Savings,2024-05-09
60,47,Savings,2024-05-09
61,48,Savings,2023-04-10
62,49,Savings,2022-11-22
63,50,Current,2024-09-04
64,50,Current,2024-09-04
65,51,Current,2022-08-30
66,51,Savings,2022-08-30
67,52,Savings,2023-02-16
68,53,Savings,2022-03-16
69,54,Savings,2024-03-04
70,55,Savings,2023-10-12
71,56,Savings,2022-03-26
72,57,Savings,2022-08-10
73,57,Savings,2022-08-10
74,58,Savings,2023-07-10
75,59,Savings,2023-06-25
76,60,Savings,2024-03-13
77,61,Savings,2022-09-24
78,61,Current,2022-09-24
79,62,Savings,2024-07-13
80,63,Savings,2023-03-21
81,64,Savings,2024-04-02
82,65,Savings,2022-08-27
83,66,Current,2022-02-06
84,66,Savings,2022-02-06
85,67,Savings,2022-02-25
86,68,Savings,2023-01-08
87,69,Current,2024-08-11
88,69,Savings,2024-08-11
89,70,Savings,2022-02-18
90,71,Savings,2023-01-04
91,72,Savings,2022-04-20
92,73,Current,2024-07-20
93,74,Current,2023-11-07
94,75,Savings,2024-02-02
95,76,Savings,2023-12-15
96,77,Savings,2023-10-20
97,78,Savings,2024-02-13
98,78,Savings,2024-02-13
99,79,Savings,2022-01-09
100,80,Savings,2024-05-15
101,81,Current,2024-01-10
102,81,Savings,2024-01-10
103,82,Savings,2024-01-10
104,83,Savings,2023-01-29
105,83,Savings,2023-01-29
106,84,Savings,2024-03-11
107,85,Savings,2023-01-17
108,86,Savings,2022-02-18
109,87,Savings,2024-06-26
110,87,Savings,2024-06-26
111,88,Current,2022-08-23
112,89,Savings,2022-04-12
113,90,Savings,2023-09-14
114,91,Savings,2022-08-22
115,92,Current,2024-05-08
116,93,Savings,2023-03-20
117,94,Savings,2022-01-05
118,95,Savings,2024-08-09
119,96,Savings,2023-05-30
120,96,Savings,2023-05-30
121,97,Current,2022-09-20
122,98,Savings,2023-11-09
123,99,Savings,2023-06-15
124,99,Current,2023-06-15
125,100,Savings,2022-01-30
126,101,Current,2024-01-30
127,102,Savings,2023-02-06
128,103,Savings,2023-12-01
129,104,Savings,2024-06-14
130,105,Savings,2023-09-03
131,105,Savings,2023-09-03
132,106,Savings,2023-11-03
133,107,Savings,2022-09-12
134,108,Savings,2022-08-26
135,109,Savings,2023-02-20
136,110,Savings,2024-05-02
137,111,Savings,2023-06-09
138,112,Savings,2022-12-15
139,112,Savings,2022-12-15
140,113,Savings,2024-02-19
141,114,Savings,2024-05-03
142,115,Current,2024-06-21
143,116,Savings,2022-10-26
144,117,Current,2023-12-11
145,118,Savings,2023-08-14
146,119,Savings,2023-03-25
147,120,Savings,2023-02-01
148,120,Savings,2023-02-01
149,121,Savings,2022-04-25
150,122,Savings,2022-10-02
151,122,Savings,2022-10-02
152,123,Current,2023-07-04
153,123,Savings,2023-07-04
154,124,Savings,2024-06-05
155,125,Savings,2024-05-16
156,126,Current,2022-07-07
157,127,Current,2023-11-11
158,127,Current,2023-11-11
159,128,Savings,2022-03-26
160,129,Savings,2023-11-07
161,130,Savings,2022-12-08
162,131,Savings,2023-03-26
163,132,Savings,2023-12-19
164,133,Savings,2023-03-01
165,134,Current,2024-03-18
166,135,Savings,2023-06-18
167,136,Savings,2024-09-25
168,137,Savings,2023-10-01
169,138,Savings,2022-10-24
170,139,Current,2024-02-15
171,140,Savings,2023-02-12
172,141,Savings,2023-06-19
173,142,Current,2022-05-17
174,142,Savings,2022-05-17
175,143,Savings,2022-04-30
176,144,Current,2023-07-29
177,145,Savings,2022-07-06
178,146,Savings,2024-09-24
179,147,Savings,2024-05-05
180,148,Savings,2023-12-02
181,149,Current,2024-01-05
182,150,Savings,2023-08-19
183,150,Savings,2023-08-19
184,151,Current,2022-03-02
185,152,Savings,2023-01-28
186,153,Savings,2023-05-11
187,154,Savings,2024-07-04
188,155,Current,2022-08-08
189,156,Savings,2023-05-12
190,157,Savings,2022-12-11
191,158,Savings,2022-05-15
192,159,Savings,2022-04-14
193,159,Current,2022-04-14
194,160,Savings,2023-01-01
195,161,Savings,2022-03-24
196,162,Savings,2022-03-09
