transaction_id,account_id,txn_date,category,amount
1,245,2024-06-25,dining ,-2263.95
2,24,2024-09-05,shopping,-974.8
3,402,2024-11-02,Utilities,-1928.02
4,406,2024-12-30,Travel,-1023.5
5,254,2024-09-16,dining ,-728.54
6,144,2024-08-28,groceries,-581.26
7,47,2024-03-31,Utilities,-2759.14
8,290,2024-12-13,Entertainment,-934.39
9,252,2024-03-08,Transfer,14241.82
10,356,2024-09-15,GROCERIES,-1336.65
11,282,2024-08-10,groceries,-434.29
12,61,2025-02-27,Shopping,-226.74
13,57,2024-09-16,Utilities,-2309.5
14,366,2024-01-03,Transfer,7468.05
15,75,2024-10-02,Shopping,-3290.05
16,440,2024-04-27,Entertainment,-1801.95
17,50,2024-07-26,Groceries,-1503.57
18,341,2024-06-10,Healthcare,-2303.68
19,457,2024-03-31,Transfer,7412.35
20,207,2025-05-30,ATM Withdrawal,-63.53
21,27,2024-05-18,Healthcare,-2399.39
22,411,2024-10-03,shopping,-1158.64
23,88,2025-03-27,Groceries,-2587.22
24,247,2024-07-17,shopping,-1656.34
25,461,2025-05-25,Transfer,-4326.16
26,349,2024-08-08,Entertainment,-165.58
27,22,2025-05-30,Shopping,-1707.34
28,384,2024-09-03,ATM Withdrawal,-2079.17
29,76,2024-01-08,dining ,-698.76
30,351,2025-04-17,Dining,-1017.03
31,291,2025-04-15,Shopping,-792.92
32,135,2025-06-08,Travel,-1060.23
33,199,2024-03-08,dining ,-74.59
34,56,2025-04-05,Transfer,-6551.67
35,462,2024-07-05,shopping,-1501.43
36,112,2025-04-03,shopping,-1213.68
37,145,2025-06-09,dining ,-2390.38
38,236,2024-04-18,dining ,-1416.87
39,315,2024-07-21,ATM Withdrawal,-1374.11
40,237,2024-05-26,Entertainment,-1489.46
41,237,2024-06-15,dining ,-675.47
42,273,2024-11-20,Transfer,-2250.91
43,402,2024-08-12,Transfer,-6268.26
44,185,2024-12-23,Transfer,1920.58
45,390,2025-01-02,shopping,-8.15
46,369,2024-04-20,Utilities,-260.28
47,450,2024-01-24,Transfer,10451.17
48,428,2025-02-10,Shopping,-651.62
49,374,2024-04-08,dining ,-119.59
50,116,2024-04-18,Travel,-1529.72
51,363,2024-11-23,shopping,-1251.43
52,345,2024-05-23,shopping,-340.87
53,136,2024-04-13,Entertainment,-2472.67
54,318,2024-06-16,Travel,-340.17
55,119,2024-10-11,Utilities,-965.29
56,245,2025-04-06,Healthcare,-1464.71
57,373,2025-06-22,dining ,-1465.21
58,89,2025-02-02,groceries,-720.73
59,158,2025-05-04,Transfer,-9338.67
60,373,2024-10-16,Healthcare,-244.52
61,213,2024-08-10,ATM Withdrawal,-764.01
62,450,2025-03-22,Travel,-1105.37
63,4,2024-06-13,shopping,-1829.87
64,338,2025-03-19,Transfer,-5099.34
65,382,2025-06-28,Entertainment,-1085.55
66,430,2024-07-31,GROCERIES,-194.43
67,74,2024-12-11,Entertainment,-180.25
68,461,2025-03-01,Salary Credit,46541.42
69,184,2025-03-03,Groceries,-737.54
70,165,2024-04-22,GROCERIES,-892.11
71,167,2025-06-08,GROCERIES,-1144.31
72,299,2024-10-01,Healthcare,-3307.51
73,309,2024-01-23,Travel,-752.27
74,222,2024-03-05,ATM Withdrawal,-2448.26
75,34,2025-01-31,Groceries,-2382.45
76,462,2024-08-20,Transfer,-2457.67
77,104,2024-02-28,Shopping,-1323.46
78,44,2024-10-10,Entertainment,-848.56
79,280,2024-11-22,shopping,-3012.97
80,193,2024-02-13,Transfer,6231.96
81,289,2024-07-09,Salary Credit,43294.55
82,410,2024-09-09,Shopping,-2806.43
83,46,2025-03-01,Healthcare,-882.75
84,133,2024-12-21,Shopping,-1696.45
85,242,2024-02-17,Entertainment,-1832.17
86,369,2024-11-30,Groceries,-1512.64
87,282,2025-05-06,ATM Withdrawal,-1104.23
88,180,2024-01-30,Entertainment,-1953.77
89,286,2025-06-21,Entertainment,-633.05
90,459,2024-02-21,shopping,-2202.33
91,225,2024-12-05,Shopping,-946.73
92,414,2024-07-10,Transfer,8138.86
93,366,2025-02-02,Utilities,-1694.39
94,142,2025-04-04,Healthcare,-1118.82
95,117,2025-04-09,Dining,-2192.41
96,361,2025-04-19,Groceries,-1713.99
97,98,2025-03-20,Transfer,-4649.59
98,158,2024-06-17,Travel,-464.06
99,111,2024-09-10,Utilities,-1351.87
100,284,2025-01-26,Utilities,-1451.75
101,138,2024-04-01,Healthcare,-1836.44
102,309,2024-11-10,Shopping,-2593.96
103,438,2024-10-15,Healthcare,-1727.99
104,389,2025-06-19,Utilities,-675.91
105,444,2024-01-28,Travel,-1377.88
106,12,2024-02-21,dining ,-2294.22
107,214,2024-01-17,Travel,-1300.43
108,104,2024-10-25,groceries,-1383.1
109,430,2024-10-27,GROCERIES,-755.18
110,334,2024-11-18,shopping,-2054.3
111,150,2024-05-11,ATM Withdrawal,-882.14
112,264,2024-06-16,Travel,-1733.57
113,284,2024-08-15,Shopping,-1585.69
114,232,2024-01-26,Travel,-1248.8
115,222,2025-02-14,shopping,-1635.68
116,26,2024-01-29,Transfer,-8831.93
117,212,2024-12-29,Transfer,7030.16
118,163,2024-09-04,Transfer,2708.25
119,383,2025-06-28,dining ,-456.04
120,405,2025-01-12,shopping,-1256.44
121,352,2024-09-16,Transfer,7248.37
122,15,2025-01-16,Healthcare,-1678.32
123,394,2024-03-04,Shopping,-523.86
124,186,2024-04-08,Shopping,-1902.51
125,195,2024-09-28,Transfer,-7021.55
126,443,2025-04-12,Healthcare,-1457.9
127,406,2025-03-22,Travel,-997.39
128,24,2024-07-24,dining ,-717.62
129,169,2024-06-03,Transfer,5399.54
