transaction_id,account_id,category,amount,category_mean,z_score
14183,102,unknown,52898.02,1097.28,5.18
4324,293,unknown,51657.48,1097.28,5.06
11543,198,groceries,-4966.85,-1259.09,-4.77
1179,427,atm withdrawal,-4876.88,-1267.32,-4.52
817,427,unknown,45086.55,1097.28,4.4
10459,274,unknown,43913.87,1097.28,4.28
11073,410,groceries,-4583.65,-1259.09,-4.28
11687,329,unknown,43484.75,1097.28,4.24
6257,468,shopping,-4557.23,-1286.18,-4.08
6190,432,travel,-4346.08,-1259.47,-4.01
2680,52,entertainment,-4461.27,-1279.16,-3.96
11123,367,groceries,-4314.29,-1259.09,-3.93
12781,417,shopping,-4430.19,-1286.18,-3.92
17876,56,entertainment,-4363.85,-1279.16,-3.84
13324,223,shopping,-4348.72,-1286.18,-3.82
13168,65,shopping,-4334.34,-1286.18,-3.8
5096,87,unknown,39070.32,1097.28,3.8
5493,294,groceries,-4186.97,-1259.09,-3.77
17322,174,dining,-4311.05,-1296.07,-3.76
998,419,entertainment,-4280.97,-1279.16,-3.73
15514,283,shopping,-4247.33,-1286.18,-3.7
889,366,salary credit,16353.36,44554.0,-3.67
3125,79,healthcare,-4142.38,-1290.05,-3.61
6658,79,dining,-4177.84,-1296.07,-3.6
5796,310,atm withdrawal,-4120.05,-1267.32,-3.58
