customer_id,segment,total_spend,spend_rank_in_segment
224,Business,120203.64,1
386,Business,117444.89,2
6,Business,111571.01,3
104,Business,88463.7,4
377,Business,78564.81,5
342,Business,73624.63,6
202,Business,71305.29,7
233,Business,70697.8,8
320,Business,69159.32,9
170,Business,68521.02,10
265,Business,66248.19,11
293,Business,65754.01,12
100,Business,63498.23,13
388,Business,62499.12,14
137,Business,61178.37,15
219,Business,61048.83,16
226,Business,60701.22,17
321,Business,60421.21,18
178,Business,59175.3,19
382,Business,56261.58,20
235,Business,56123.42,21
340,Business,53953.04,22
23,Business,51900.53,23
143,Business,50528.22,24
32,Business,50349.18,25
347,Business,46852.76,26
101,Business,46648.41,27
162,Business,42997.07,28
174,Business,42258.56,29
297,Business,41171.14,30
