customer_id,segment,city,txn_count,total_spend,total_credits
279,Premium,Bengaluru,91,160473.01,78919.23
313,Retail,Mumbai,96,151426.09,266066.61
127,Retail,Delhi,98,144089.77,240635.45
13,Retail,Chennai,115,138279.51,182224.8
69,Retail,Delhi,89,131777.38,339641.14
352,Retail,Delhi,95,128941.6,272703.04
26,Retail,Hyderabad,91,128712.98,173902.89
283,Retail,Kolkata,103,128053.94,317575.0
41,Retail,Bengaluru,87,127313.33,273147.81
51,Retail,Kolkata,86,127089.92,318855.97
83,Premium,Delhi,98,126498.31,209182.17
122,Retail,Chennai,97,126108.21,429883.86
37,Retail,Pune,79,125917.94,144043.88
2,Retail,Bengaluru,99,121346.76,212011.76
57,Retail,Mumbai,95,121203.34,319815.46
294,Retail,Bengaluru,77,121137.55,124937.78
266,Retail,Bengaluru,85,120558.44,9117.96
224,Business,Pune,87,120203.64,242838.05
30,Premium,Hyderabad,84,119372.23,229547.46
267,Retail,Kolkata,105,117695.67,185733.76
