account_id,txn_date,category,amount,n
5,2025-02-01 00:00:00,ATM Withdrawal,-2115.23,2
7,2025-05-20 00:00:00,ATM Withdrawal,-755.16,2
8,2024-09-03 00:00:00,Utilities,-1306.81,2
12,2024-03-20 00:00:00,ATM Withdrawal,-382.15,2
34,2024-08-23 00:00:00,Utilities,-1143.19,2
36,2024-03-21 00:00:00,Healthcare,-1631.04,2
49,2024-03-18 00:00:00,Shopping,-2295.26,2
51,2024-04-23 00:00:00,ATM Withdrawal,-2054.81,2
54,2024-06-11 00:00:00,Dining,-901.52,2
76,2024-11-04 00:00:00,Transfer,4870.3,2
88,2024-09-14 00:00:00,Transfer,3561.02,2
96,2024-10-20 00:00:00,ATM Withdrawal,-1009.28,2
99,2024-03-22 00:00:00,Dining,-2556.4,2
108,2024-05-27 00:00:00,Utilities,-1647.74,2
111,2025-01-21 00:00:00,shopping,-1636.99,2
113,2025-01-20 00:00:00,dining ,-2256.56,2
116,2024-11-13 00:00:00,dining ,-1654.55,2
123,2024-02-29 00:00:00,Travel,-858.76,2
126,2024-02-04 00:00:00,Utilities,-1272.3,2
127,2024-08-09 00:00:00,Transfer,-7243.89,2
127,2025-02-05 00:00:00,Entertainment,-2112.03,2
131,2024-02-23 00:00:00,Entertainment,-507.54,2
133,2025-06-23 00:00:00,ATM Withdrawal,-910.24,2
141,2025-05-21 00:00:00,Healthcare,-1586.59,2
146,2025-05-02 00:00:00,Entertainment,-43.09,2
153,2024-07-31 00:00:00,dining ,-1346.7,2
161,2024-04-06 00:00:00,shopping,-2377.13,2
171,2024-05-25 00:00:00,dining ,-2288.17,2
172,2024-08-11 00:00:00,Groceries,-1314.2,2
173,2024-05-14 00:00:00,Shopping,-2293.93,2
178,2025-03-04 00:00:00,shopping,-1849.57,2
188,2024-09-16 00:00:00,Utilities,-1910.21,2
189,2024-02-10 00:00:00,Salary Credit,35390.51,2
202,2024-11-21 00:00:00,Groceries,-1976.37,2
202,2025-04-15 00:00:00,,6193.58,2
207,2024-10-21 00:00:00,ATM Withdrawal,-1257.91,2
212,2024-10-01 00:00:00,Transfer,2039.96,2
212,2025-03-16 00:00:00,Salary Credit,61118.85,2
214,2025-01-02 00:00:00,Shopping,-863.52,2
216,2025-01-11 00:00:00,ATM Withdrawal,-1048.74,2
220,2024-09-03 00:00:00,Groceries,-763.53,2
222,2024-04-20 00:00:00,Salary Credit,56945.55,2
222,2024-07-25 00:00:00,dining ,-1107.23,2
228,2024-01-07 00:00:00,Groceries,-690.69,2
237,2024-02-07 00:00:00,Entertainment,-1446.26,2
240,2024-10-07 00:00:00,Travel,-538.57,2
248,2024-05-31 00:00:00,Travel,-619.87,2
260,2024-03-25 00:00:00,ATM Withdrawal,-737.48,2
264,2025-02-25 00:00:00,Transfer,-2113.93,2
269,2024-01-18 00:00:00,Travel,-34.55,2
269,2025-01-14 00:00:00,Transfer,-3790.87,2
275,2025-03-09 00:00:00,Salary Credit,52545.97,2
279,2024-05-24 00:00:00,Travel,-1751.28,2
285,2024-10-26 00:00:00,Entertainment,-1972.16,2
287,2024-04-01 00:00:00,Healthcare,-1175.58,2
290,2024-11-09 00:00:00,Utilities,-2181.56,2
341,2024-06-10 00:00:00,ATM Withdrawal,-1719.53,2
352,2024-10-11 00:00:00,Utilities,-358.53,2
359,2025-03-09 00:00:00,shopping,-1649.71,2
364,2025-03-08 00:00:00,Healthcare,-2483.11,2
366,2025-03-03 00:00:00,shopping,-937.85,2
374,2024-07-24 00:00:00,Utilities,-1574.41,2
375,2024-03-29 00:00:00,groceries,-523.49,2
375,2024-12-21 00:00:00,GROCERIES,-3433.51,2
375,2025-06-10 00:00:00,Entertainment,-628.54,2
393,2024-08-02 00:00:00,Entertainment,-1198.81,2
398,2024-12-08 00:00:00,ATM Withdrawal,-1164.27,2
399,2025-05-01 00:00:00,Salary Credit,59044.19,2
403,2025-02-20 00:00:00,Travel,-395.34,2
406,2025-03-05 00:00:00,Transfer,6342.93,2
408,2024-07-02 00:00:00,ATM Withdrawal,-2369.92,2
421,2024-01-29 00:00:00,groceries,-2033.35,2
428,2024-03-01 00:00:00,Healthcare,-1686.83,2
431,2024-02-11 00:00:00,Travel,-333.5,2
432,2024-10-01 00:00:00,dining ,-1885.9,2
436,2024-03-24 00:00:00,ATM Withdrawal,-568.68,2
436,2024-06-19 00:00:00,Travel,-661.67,2
443,2024-02-18 00:00:00,Utilities,-2505.33,2
443,2025-01-10 00:00:00,Healthcare,-1881.72,2
458,2025-02-15 00:00:00,Utilities,-2013.28,2
