month,category,spend
2024-01,transfer,323692.68
2024-01,groceries,210871.32
2024-01,shopping,202746.26
2024-01,dining,159079.03
2024-01,entertainment,143113.73
2024-01,atm withdrawal,138518.24
2024-01,utilities,136472.74
2024-01,travel,129847.06
2024-01,healthcare,104937.82
2024-01,unknown,6293.87
2024-02,transfer,252935.35
2024-02,shopping,231154.0
2024-02,dining,195623.22
2024-02,groceries,183039.11
2024-02,utilities,161356.08
2024-02,atm withdrawal,143211.15
2024-02,travel,112585.37
2024-02,entertainment,101251.54
2024-02,healthcare,98563.36
2024-02,unknown,9013.68
2024-03,transfer,286669.87
2024-03,shopping,237664.75
2024-03,groceries,206998.8
2024-03,dining,187497.87
2024-03,atm withdrawal,144406.67
2024-03,utilities,141005.31
2024-03,healthcare,105004.15
2024-03,entertainment,98618.22
2024-03,travel,86327.53
2024-03,unknown,2921.75
2024-04,transfer,237953.43
2024-04,groceries,208525.18
2024-04,shopping,190949.12
2024-04,dining,180216.89
2024-04,travel,121583.07
2024-04,atm withdrawal,121514.92
2024-04,utilities,118557.36
2024-04,healthcare,103310.1
2024-04,entertainment,95362.11
2024-04,unknown,8453.38
2024-05,transfer,322013.49
2024-05,shopping,246609.2
2024-05,groceries,221751.82
2024-05,dining,182441.03
2024-05,atm withdrawal,178265.27
2024-05,utilities,138069.41
2024-05,entertainment,123243.75
2024-05,healthcare,97031.8
2024-05,travel,86591.73
2024-05,unknown,5992.71
2024-06,transfer,285366.74
2024-06,shopping,197276.31
2024-06,groceries,193656.19
2024-06,dining,150043.35
2024-06,atm withdrawal,149873.03
2024-06,utilities,130895.59
2024-06,travel,124114.16
2024-06,entertainment,103845.55
2024-06,healthcare,89667.96
2024-06,unknown,13470.3
2024-07,transfer,231712.39
2024-07,groceries,215408.22
2024-07,dining,185693.91
2024-07,shopping,180843.16
2024-07,utilities,138727.96
2024-07,healthcare,116091.95
2024-07,atm withdrawal,109233.93
2024-07,travel,95036.7
2024-07,entertainment,93378.6
2024-07,unknown,17919.09
2024-08,transfer,306438.79
2024-08,groceries,223183.9
2024-08,shopping,184144.99
2024-08,dining,173751.2
2024-08,utilities,141876.13
2024-08,atm withdrawal,130724.1
2024-08,travel,117174.44
2024-08,entertainment,109942.16
2024-08,healthcare,100932.88
2024-08,unknown,10972.05
2024-09,transfer,300477.19
2024-09,groceries,226409.15
2024-09,shopping,209900.26
2024-09,atm withdrawal,133813.04
2024-09,dining,131295.19
2024-09,utilities,130443.97
2024-09,entertainment,103907.81
2024-09,travel,94324.67
2024-09,healthcare,66576.07
2024-09,unknown,10304.1
2024-10,transfer,335471.85
2024-10,shopping,223993.76
2024-10,groceries,207120.66
2024-10,dining,158191.08
2024-10,atm withdrawal,151418.01
2024-10,utilities,133975.11
2024-10,entertainment,126609.14
2024-10,travel,112814.91
2024-10,healthcare,77790.78
2024-10,unknown,6890.6
2024-11,transfer,255418.76
2024-11,shopping,213717.86
2024-11,groceries,210058.86
2024-11,dining,160981.75
2024-11,atm withdrawal,155961.5
2024-11,travel,126761.64
2024-11,utilities,125890.64
2024-11,entertainment,121544.1
2024-11,healthcare,109467.79
2024-11,unknown,7810.04
2024-12,transfer,309039.41
2024-12,groceries,220760.77
2024-12,shopping,207797.03
2024-12,dining,196116.5
2024-12,entertainment,148583.64
2024-12,utilities,138335.54
2024-12,travel,129218.35
2024-12,atm withdrawal,124596.03
2024-12,healthcare,111238.51
2024-12,unknown,12393.78
2025-01,transfer,267616.69
2025-01,shopping,220962.29
2025-01,groceries,187162.5
2025-01,dining,185173.23
2025-01,atm withdrawal,158063.75
2025-01,utilities,131622.02
2025-01,travel,107866.04
2025-01,entertainment,106707.56
2025-01,healthcare,90250.26
2025-01,unknown,4250.24
2025-02,transfer,234136.57
2025-02,shopping,211539.8
2025-02,groceries,178632.9
2025-02,dining,158144.74
2025-02,atm withdrawal,145343.97
2025-02,utilities,119787.47
2025-02,healthcare,102070.39
2025-02,entertainment,97115.52
2025-02,travel,76144.26
2025-02,unknown,12107.43
2025-03,transfer,329142.81
2025-03,shopping,212289.38
2025-03,groceries,210052.15
2025-03,dining,170631.97
2025-03,atm withdrawal,153005.64
2025-03,utilities,139441.78
2025-03,healthcare,123241.94
2025-03,entertainment,123030.61
2025-03,travel,118953.42
2025-03,unknown,24011.94
2025-04,shopping,231140.26
2025-04,transfer,209997.91
2025-04,groceries,203323.48
2025-04,dining,188459.22
2025-04,atm withdrawal,150723.03
2025-04,utilities,145787.38
2025-04,entertainment,122954.4
2025-04,travel,91296.37
2025-04,healthcare,80522.28
2025-04,unknown,12483.79
2025-05,transfer,277507.54
2025-05,shopping,230335.92
2025-05,groceries,230212.62
2025-05,dining,190163.1
2025-05,utilities,136009.98
2025-05,atm withdrawal,135830.89
2025-05,travel,118419.65
2025-05,entertainment,104291.04
2025-05,healthcare,91964.04
2025-05,unknown,19181.31
2025-06,transfer,255027.2
2025-06,groceries,226246.81
2025-06,shopping,192045.27
2025-06,atm withdrawal,155767.74
2025-06,dining,144111.59
2025-06,utilities,125113.86
2025-06,travel,108164.14
2025-06,entertainment,98855.89
2025-06,healthcare,81937.54
2025-06,unknown,13727.19
