month,category,spend,prev_month_spend,mom_change,running_total
2024-01,atm withdrawal,138518.24,,,138518.24
2024-02,atm withdrawal,143211.15,138518.24,4692.91,281729.39
2024-03,atm withdrawal,144406.67,143211.15,1195.52,426136.06
2024-04,atm withdrawal,121514.92,144406.67,-22891.75,547650.98
2024-05,atm withdrawal,178265.27,121514.92,56750.35,725916.25
2024-06,atm withdrawal,149873.03,178265.27,-28392.24,875789.28
2024-07,atm withdrawal,109233.93,149873.03,-40639.1,985023.21
2024-08,atm withdrawal,130724.1,109233.93,21490.17,1115747.31
2024-09,atm withdrawal,133813.04,130724.1,3088.94,1249560.35
2024-10,atm withdrawal,151418.01,133813.04,17604.97,1400978.36
2024-11,atm withdrawal,155961.5,151418.01,4543.49,1556939.86
2024-12,atm withdrawal,124596.03,155961.5,-31365.47,1681535.89
2025-01,atm withdrawal,158063.75,124596.03,33467.72,1839599.64
2025-02,atm withdrawal,145343.97,158063.75,-12719.78,1984943.61
2025-03,atm withdrawal,153005.64,145343.97,7661.67,2137949.25
2025-04,atm withdrawal,150723.03,153005.64,-2282.61,2288672.28
2025-05,atm withdrawal,135830.89,150723.03,-14892.14,2424503.17
2025-06,atm withdrawal,155767.74,135830.89,19936.85,2580270.91
2024-01,dining,159079.03,,,159079.03
2024-02,dining,195623.22,159079.03,36544.19,354702.25
2024-03,dining,187497.87,195623.22,-8125.35,542200.12
2024-04,dining,180216.89,187497.87,-7280.98,722417.01
2024-05,dining,182441.03,180216.89,2224.14,904858.04
2024-06,dining,150043.35,182441.03,-32397.68,1054901.39
2024-07,dining,185693.91,150043.35,35650.56,1240595.3
2024-08,dining,173751.2,185693.91,-11942.71,1414346.5
2024-09,dining,131295.19,173751.2,-42456.01,1545641.69
2024-10,dining,158191.08,131295.19,26895.89,1703832.77
2024-11,dining,160981.75,158191.08,2790.67,1864814.52
2024-12,dining,196116.5,160981.75,35134.75,2060931.02
2025-01,dining,185173.23,196116.5,-10943.27,2246104.25
2025-02,dining,158144.74,185173.23,-27028.49,2404248.99
2025-03,dining,170631.97,158144.74,12487.23,2574880.96
2025-04,dining,188459.22,170631.97,17827.25,2763340.18
2025-05,dining,190163.1,188459.22,1703.88,2953503.28
2025-06,dining,144111.59,190163.1,-46051.51,3097614.87
2024-01,entertainment,143113.73,,,143113.73
2024-02,entertainment,101251.54,143113.73,-41862.19,244365.27
2024-03,entertainment,98618.22,101251.54,-2633.32,342983.49
2024-04,entertainment,95362.11,98618.22,-3256.11,438345.6
2024-05,entertainment,123243.75,95362.11,27881.64,561589.35
2024-06,entertainment,103845.55,123243.75,-19398.2,665434.9
2024-07,entertainment,93378.6,103845.55,-10466.95,758813.5
2024-08,entertainment,109942.16,93378.6,16563.56,868755.66
2024-09,entertainment,103907.81,109942.16,-6034.35,972663.47
2024-10,entertainment,126609.14,103907.81,22701.33,1099272.61
2024-11,entertainment,121544.1,126609.14,-5065.04,1220816.71
2024-12,entertainment,148583.64,121544.1,27039.54,1369400.35
2025-01,entertainment,106707.56,148583.64,-41876.08,1476107.91
2025-02,entertainment,97115.52,106707.56,-9592.04,1573223.43
2025-03,entertainment,123030.61,97115.52,25915.09,1696254.04
2025-04,entertainment,122954.4,123030.61,-76.21,1819208.44
2025-05,entertainment,104291.04,122954.4,-18663.36,1923499.48
2025-06,entertainment,98855.89,104291.04,-5435.15,2022355.37
2024-01,groceries,210871.32,,,210871.32
2024-02,groceries,183039.11,210871.32,-27832.21,393910.43
2024-03,groceries,206998.8,183039.11,23959.69,600909.23
2024-04,groceries,208525.18,206998.8,1526.38,809434.41
2024-05,groceries,221751.82,208525.18,13226.64,1031186.23
2024-06,groceries,193656.19,221751.82,-28095.63,1224842.42
2024-07,groceries,215408.22,193656.19,21752.03,1440250.64
2024-08,groceries,223183.9,215408.22,7775.68,1663434.54
2024-09,groceries,226409.15,223183.9,3225.25,1889843.69
2024-10,groceries,207120.66,226409.15,-19288.49,2096964.35
2024-11,groceries,210058.86,207120.66,2938.2,2307023.21
2024-12,groceries,220760.77,210058.86,10701.91,2527783.98
2025-01,groceries,187162.5,220760.77,-33598.27,2714946.48
2025-02,groceries,178632.9,187162.5,-8529.6,2893579.38
2025-03,groceries,210052.15,178632.9,31419.25,3103631.53
2025-04,groceries,203323.48,210052.15,-6728.67,3306955.01
2025-05,groceries,230212.62,203323.48,26889.14,3537167.63
2025-06,groceries,226246.81,230212.62,-3965.81,3763414.44
2024-01,healthcare,104937.82,,,104937.82
2024-02,healthcare,98563.36,104937.82,-6374.46,203501.18
2024-03,healthcare,105004.15,98563.36,6440.79,308505.33
2024-04,healthcare,103310.1,105004.15,-1694.05,411815.43
2024-05,healthcare,97031.8,103310.1,-6278.3,508847.23
2024-06,healthcare,89667.96,97031.8,-7363.84,598515.19
2024-07,healthcare,116091.95,89667.96,26423.99,714607.14
2024-08,healthcare,100932.88,116091.95,-15159.07,815540.02
2024-09,healthcare,66576.07,100932.88,-34356.81,882116.09
2024-10,healthcare,77790.78,66576.07,11214.71,959906.87
2024-11,healthcare,109467.79,77790.78,31677.01,1069374.66
